n,t,v,q,pwm,fa
57,1.14,"[-1.13, -1.98e-16, -4.49]","[0.982, 7.96e-17, 0.191, -7.33e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[1.16, 2.8e-15, 22.7]"
58,1.16,"[-1.2, -1.63e-16, -4.42]","[0.981, 7.85e-17, 0.194, -7.29e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[-10.5, 3.89e-15, 13.2]"
59,1.18,"[-1.29, -1.18e-16, -4.41]","[0.984, 7.49e-17, 0.178, -7.42e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-24.7, 5.12e-15, 17.3]"
60,1.2,"[-1.34, -8.8e-17, -4.34]","[0.988, 7.11e-17, 0.152, -7.62e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-19.4, 4.02e-15, 16.4]"
61,1.22,"[-1.41, -4.78e-17, -4.33]","[0.99, 7.03e-17, 0.142, -7.71e-17]","[1.17e+03, 1e+03, 1.17e+03, 1e+03]","[-3.75, 2.56e-15, 15.8]"
62,1.24,"[-1.44, -2.9e-17, -4.21]","[0.989, 6.84e-17, 0.151, -7.6e-17]","[1.04e+03, 1e+03, 1.04e+03, 1e+03]","[3.98, 4.21e-15, 26.4]"
63,1.26,"[-1.45, -2.63e-17, -4.02]","[0.986, 6.53e-17, 0.166, -7.39e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[4.98, 4.53e-15, 28.2]"
64,1.28,"[-1.49, -1.24e-17, -3.88]","[0.984, 6.06e-17, 0.18, -7.16e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[-0.347, 6.22e-15, 18.8]"
65,1.3,"[-1.56, 2.08e-17, -3.85]","[0.984, 5.18e-17, 0.179, -7e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[-13.1, 8.6e-15, 12.3]"
66,1.32,"[-1.64, 5.34e-17, -3.84]","[0.988, 4.03e-17, 0.156, -6.95e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-25.4, 9.21e-15, 20.8]"
67,1.34,"[-1.68, 7.2e-17, -3.79]","[0.992, 2.96e-17, 0.127, -6.95e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-19.1, 7.61e-15, 18.4]"
68,1.36,"[-1.74, 9.31e-17, -3.79]","[0.994, 2.16e-17, 0.114, -6.9e-17]","[1.43e+03, 1e+03, 1.43e+03, 1e+03]","[-4.17, 4.79e-15, 11.5]"
69,1.38,"[-1.77, 1.04e-16, -3.71]","[0.992, 1.63e-17, 0.122, -6.82e-17]","[1.06e+03, 1e+03, 1.06e+03, 1e+03]","[4.94, 3.14e-15, 23.5]"
70,1.4,"[-1.78, 1.07e-16, -3.54]","[0.99, 1.19e-17, 0.139, -6.72e-17]","[1e+03, 1.16e+03, 1e+03, 1.16e+03]","[6.3, 2.57e-15, 27.1]"
71,1.42,"[-1.8, 1.1e-16, -3.37]","[0.988, 7.69e-18, 0.157, -6.62e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[3.34, 2.55e-15, 20.1]"
72,1.44,"[-1.86, 1.22e-16, -3.32]","[0.986, 3.03e-18, 0.164, -6.53e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[-6.78, 3.37e-15, 13.9]"
73,1.46,"[-1.93, 1.37e-16, -3.34]","[0.989, -2.35e-18, 0.149, -6.46e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-20.8, 3.86e-15, 17.9]"
74,1.48,"[-1.98, 1.44e-16, -3.28]","[0.993, -3.99e-18, 0.117, -6.43e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-20.8, 9.31e-16, 23.5]"
75,1.5,"[-2.02, 1.51e-16, -3.26]","[0.996, -1.66e-18, 0.0948, -6.43e-17]","[2e+03, 1e+03, 2e+03, 1e+03]","[-9.63, -1.46e-15, 15.4]"
76,1.52,"[-2.06, 1.59e-16, -3.26]","[0.995, 2.55e-18, 0.0953, -6.42e-17]","[1.15e+03, 1e+03, 1.15e+03, 1e+03]","[3.02, -1.18e-15, 17.8]"
77,1.54,"[-2.08, 1.62e-16, -3.13]","[0.994, 3.6e-18, 0.111, -6.34e-17]","[1.03e+03, 1e+03, 1.03e+03, 1e+03]","[6.55, 1.31e-16, 24.1]"
78,1.56,"[-2.08, 1.63e-16, -2.94]","[0.991, 2.94e-18, 0.131, -6.22e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[5.76, 8.68e-16, 21.9]"
79,1.58,"[-2.12, 1.7e-16, -2.85]","[0.989, 4.67e-19, 0.145, -6.1e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[-1.17, 2.14e-15, 14.8]"
80,1.6,"[-2.18, 1.8e-16, -2.86]","[0.99, -3.48e-18, 0.141, -5.97e-17]","[1e+03, 2e+03, 1e+03, 2e+03]","[-13, 3.27e-15, 14.2]"
81,1.62,"[-2.23, 1.87e-16, -2.83]","[0.994, -7.17e-18, 0.113, -5.84e-17]","[1e+03, 1.07e+03, 1e+03, 1.07e+03]","[-21.2, 2.57e-15, 31.7]"
82,1.64,"[-2.24, 1.88e-16, -2.66]","[0.997, -9.04e-18, 0.0749, -5.73e-17]","[1.23e+03, 1e+03, 1.23e+03, 1e+03]","[-20.2, 2.03e-15, 39.8]"
83,1.66,"[-2.24, 1.88e-16, -2.48]","[0.999, -1.05e-17, 0.0357, -5.62e-17]","[2e+03, 1.88e+03, 2e+03, 1.88e+03]","[-14.8, 1.24e-15, 15.3]"
84,1.68,"[-2.25, 1.86e-16, -2.43]","[1, -9.81e-18, -0.000943, -5.55e-17]","[2e+03, 1.95e+03, 2e+03, 1.95e+03]","[-12.9, 8.25e-16, -3.63]"
