n,t,v,q,pwm,fa
41,0.82,"[-0.0106, 1.22e-13, -0.0875]","[1, 4.24e-13, 0.00336, 3.83e-14]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0915, -1.29e-28, 0.000422]"
42,0.84,"[-0.0128, 2.84e-13, -0.042]","[1, 6.7e-13, 0.00332, 6.1e-14]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0912, -2.89e-27, 9.72e-05]"
43,0.86,"[-0.015, 5.3e-13, 0.00368]","[1, 9.8e-13, 0.00338, 8.73e-14]","[2e+03, 1.09e+03, 2e+03, 1.09e+03]","[-0.0908, -1.6e-26, -7.03e-07]"
44,0.88,"[-0.0172, 7.35e-13, 0.0482]","[1, -3.85e-14, 0.00345, 3.86e-14]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0905, -2.95e-26, -0.000127]"
45,0.9,"[-0.0195, 3.67e-13, 0.0932]","[1, -1.89e-12, 0.00355, -5.76e-14]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0901, -7.84e-30, -0.000477]"
46,0.92,"[-0.0139, 8.06e-13, -0.00413]","[1, 6.17e-12, 0.00355, 5.08e-13]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.091, -3.25e-26, 9.86e-07]"
47,0.94,"[-0.0103, 2.72e-12, -0.1]","[1, 1.05e-11, 0.00345, 9.96e-13]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0916, -2.22e-26, 0.000554]"
48,0.96,"[-0.0126, 6.68e-12, -0.0547]","[1, 1.62e-11, 0.0034, 1.55e-12]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0912, -1.34e-24, 0.000165]"
49,0.98,"[-0.0148, 1.26e-11, -0.0091]","[1, 2.36e-11, 0.00344, 2.2e-12]","[2e+03, 1.12e+03, 2e+03, 1.12e+03]","[-0.0909, -8.28e-24, 4.65e-06]"
50,1,"[-0.017, 1.76e-11, 0.0352]","[1, -1.15e-12, 0.0035, 1.04e-12]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0905, -1.69e-23, -6.78e-05]"
51,1.02,"[-0.0193, 8.14e-12, 0.0804]","[1, -6.52e-11, 0.00355, -2.35e-12]","[2e+03, 1.02e+03, 2e+03, 1.02e+03]","[-0.0901, 3.22e-25, -0.000354]"
52,1.04,"[-0.0183, -3.61e-12, 0.0729]","[1, 5.47e-11, 0.00361, 5.09e-12]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0903, -1.13e-24, -0.000291]"
53,1.06,"[-0.011, 3.21e-11, -0.0779]","[1, 2.09e-10, 0.00353, 1.96e-11]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0915, 4.85e-28, 0.000334]"
54,1.08,"[-0.0115, 1.02e-10, -0.0783]","[1, 3.09e-10, 0.00344, 3.09e-11]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0914, -1.65e-22, 0.000338]"
55,1.1,"[-0.0138, 2.18e-10, -0.0327]","[1, 4.64e-10, 0.00345, 4.53e-11]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.091, -1.95e-21, 5.91e-05]"
56,1.12,"[-0.016, 3.62e-10, 0.0122]","[1, 3.05e-10, 0.00351, 4.2e-11]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0907, -7.55e-21, -8.04e-06]"
57,1.14,"[-0.0183, 2.87e-10, 0.0573]","[1, -9.18e-10, 0.00359, -2.14e-11]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0903, -1.8e-21, -0.00018]"
58,1.16,"[-0.0206, 5.38e-10, 0.102]","[1, 4.42e-09, 0.00366, 2.85e-10]","[2e+03, 1e+03, 2e+03, 1e+03]","[-0.0899, -1.16e-19, -0.000569]"
