n,t,v,q,pwm,fa
65,1.3,"[0.0411, 5.22e-17, -3.84]","[0.991, -2.36e-19, -0.134, 2.12e-17]","[1.45e+03, 1.41e+03, 1.45e+03, 1.41e+03]","[-0.193, 1.08e-14, 9.94]"
66,1.32,"[0.0545, 5.11e-17, -3.77]","[0.991, -1.84e-17, -0.132, 1.87e-17]","[1.44e+03, 1.42e+03, 1.44e+03, 1.42e+03]","[1.29, 9.51e-15, 9.42]"
67,1.34,"[0.0672, 4.58e-17, -3.69]","[0.992, -3.45e-17, -0.128, 1.63e-17]","[1.43e+03, 1.43e+03, 1.43e+03, 1.43e+03]","[2.5, 8.04e-15, 9]"
68,1.36,"[0.0784, 3.65e-17, -3.62]","[0.993, -4.8e-17, -0.122, 1.43e-17]","[1.42e+03, 1.44e+03, 1.42e+03, 1.44e+03]","[3.39, 6.23e-15, 8.71]"
69,1.38,"[0.0875, 2.41e-17, -3.55]","[0.993, -5.82e-17, -0.114, 1.26e-17]","[1.41e+03, 1.46e+03, 1.41e+03, 1.46e+03]","[3.95, 4.24e-15, 8.56]"
70,1.4,"[0.094, 9.17e-18, -3.48]","[0.994, -6.48e-17, -0.105, 1.12e-17]","[1.4e+03, 1.47e+03, 1.4e+03, 1.47e+03]","[4.16, 2.24e-15, 8.52]"
71,1.42,"[0.0977, -7.24e-18, -3.42]","[0.995, -6.78e-17, -0.0952, 1.01e-17]","[1.4e+03, 1.48e+03, 1.4e+03, 1.48e+03]","[4.05, 3.2e-16, 8.53]"
72,1.44,"[0.0984, -2.43e-17, -3.35]","[0.996, -6.73e-17, -0.0857, 9.41e-18]","[1.39e+03, 1.49e+03, 1.39e+03, 1.49e+03]","[3.65, -1.48e-15, 8.57]"
73,1.46,"[0.0964, -4.1e-17, -3.29]","[0.997, -6.35e-17, -0.0769, 9.05e-18]","[1.38e+03, 1.49e+03, 1.38e+03, 1.49e+03]","[3.01, -2.94e-15, 8.62]"
74,1.48,"[0.0918, -5.67e-17, -3.22]","[0.998, -5.68e-17, -0.0691, 8.97e-18]","[1.38e+03, 1.5e+03, 1.38e+03, 1.5e+03]","[2.2, -4.27e-15, 8.65]"
75,1.5,"[0.0852, -7.04e-17, -3.16]","[0.998, -4.78e-17, -0.0628, 9.14e-18]","[1.38e+03, 1.5e+03, 1.38e+03, 1.5e+03]","[1.28, -5.02e-15, 8.65]"
76,1.52,"[0.0769, -8.18e-17, -3.1]","[0.998, -3.7e-17, -0.0583, 9.46e-18]","[1.38e+03, 1.5e+03, 1.38e+03, 1.5e+03]","[0.331, -5.62e-15, 8.62]"
77,1.54,"[0.0676, -9.01e-17, -3.04]","[0.998, -2.5e-17, -0.0555, 9.93e-18]","[1.39e+03, 1.5e+03, 1.39e+03, 1.5e+03]","[-0.598, -5.89e-15, 8.58]"
78,1.56,"[0.0579, -9.53e-17, -2.98]","[0.999, -1.24e-17, -0.0546, 1.05e-17]","[1.39e+03, 1.5e+03, 1.39e+03, 1.5e+03]","[-1.45, -5.71e-15, 8.52]"
79,1.58,"[0.0483, -9.7e-17, -2.92]","[0.998, -3.02e-19, -0.0555, 1.11e-17]","[1.4e+03, 1.5e+03, 1.4e+03, 1.5e+03]","[-2.17, -5.19e-15, 8.46]"
80,1.6,"[0.0394, -9.55e-17, -2.86]","[0.998, 1.11e-17, -0.0579, 1.18e-17]","[1.41e+03, 1.49e+03, 1.41e+03, 1.49e+03]","[-2.74, -4.6e-15, 8.39]"
81,1.62,"[0.0317, -9.1e-17, -2.81]","[0.998, 2.14e-17, -0.0616, 1.24e-17]","[1.41e+03, 1.49e+03, 1.41e+03, 1.49e+03]","[-3.14, -3.83e-15, 8.33]"
82,1.64,"[0.0255, -8.37e-17, -2.75]","[0.998, 2.98e-17, -0.0661, 1.28e-17]","[1.42e+03, 1.49e+03, 1.42e+03, 1.49e+03]","[-3.36, -2.79e-15, 8.26]"
83,1.66,"[0.0209, -7.43e-17, -2.7]","[0.997, 3.6e-17, -0.0713, 1.3e-17]","[1.43e+03, 1.48e+03, 1.43e+03, 1.48e+03]","[-3.41, -1.81e-15, 8.17]"
84,1.68,"[0.0183, -6.33e-17, -2.65]","[0.997, 4.02e-17, -0.0765, 1.31e-17]","[1.44e+03, 1.48e+03, 1.44e+03, 1.48e+03]","[-3.31, -8.68e-16, 8.07]"
85,1.7,"[0.0174, -5.13e-17, -2.6]","[0.997, 4.19e-17, -0.0816, 1.3e-17]","[1.44e+03, 1.47e+03, 1.44e+03, 1.47e+03]","[-3.07, 1.37e-16, 7.94]"
86,1.72,"[0.0183, -3.9e-17, -2.55]","[0.996, 4.12e-17, -0.0861, 1.28e-17]","[1.45e+03, 1.47e+03, 1.45e+03, 1.47e+03]","[-2.74, 9.21e-16, 7.79]"
87,1.74,"[0.0206, -2.71e-17, -2.5]","[0.996, 3.87e-17, -0.0898, 1.24e-17]","[1.45e+03, 1.47e+03, 1.45e+03, 1.47e+03]","[-2.35, 1.63e-15, 7.62]"
88,1.76,"[0.0241, -1.61e-17, -2.45]","[0.996, 3.43e-17, -0.0926, 1.19e-17]","[1.45e+03, 1.47e+03, 1.45e+03, 1.47e+03]","[-1.93, 2.14e-15, 7.45]"
89,1.78,"[0.0285, -6.5e-18, -2.4]","[0.996, 2.84e-17, -0.0943, 1.13e-17]","[1.45e+03, 1.48e+03, 1.45e+03, 1.48e+03]","[-1.5, 2.45e-15, 7.27]"
90,1.8,"[0.0332, 1.25e-18, -2.35]","[0.995, 2.16e-17, -0.0948, 1.07e-17]","[1.45e+03, 1.48e+03, 1.45e+03, 1.48e+03]","[-1.11, 2.71e-15, 7.11]"
91,1.82,"[0.038, 6.89e-18, -2.31]","[0.996, 1.4e-17, -0.0943, 9.91e-18]","[1.45e+03, 1.48e+03, 1.45e+03, 1.48e+03]","[-0.761, 2.76e-15, 6.95]"
92,1.84,"[0.0426, 1.03e-17, -2.26]","[0.996, 6.26e-18, -0.0927, 9.18e-18]","[1.45e+03, 1.49e+03, 1.45e+03, 1.49e+03]","[-0.485, 2.69e-15, 6.82]"
93,1.86,"[0.0464, 1.13e-17, -2.22]","[0.996, -1.3e-18, -0.0904, 8.49e-18]","[1.44e+03, 1.49e+03, 1.44e+03, 1.49e+03]","[-0.29, 2.47e-15, 6.71]"
94,1.88,"[0.0495, 1.01e-17, -2.18]","[0.996, -8.28e-18, -0.0874, 7.83e-18]","[1.44e+03, 1.5e+03, 1.44e+03, 1.5e+03]","[-0.18, 2.12e-15, 6.61]"
95,1.9,"[0.0515, 6.92e-18, -2.13]","[0.996, -1.41e-17, -0.084, 7.3e-18]","[1.44e+03, 1.5e+03, 1.44e+03, 1.5e+03]","[-0.155, 1.64e-15, 6.54]"
96,1.92,"[0.0523, 2.07e-18, -2.09]","[0.997, -1.88e-17, -0.0805, 6.91e-18]","[1.44e+03, 1.51e+03, 1.44e+03, 1.51e+03]","[-0.208, 1.09e-15, 6.47]"
97,1.94,"[0.052, -4.01e-18, -2.05]","[0.997, -2.18e-17, -0.077, 6.58e-18]","[1.43e+03, 1.51e+03, 1.43e+03, 1.51e+03]","[-0.326, 6.5e-16, 6.42]"
98,1.96,"[0.0506, -1.09e-17, -2.01]","[0.997, -2.35e-17, -0.0739, 6.33e-18]","[1.43e+03, 1.51e+03, 1.43e+03, 1.51e+03]","[-0.498, 1.26e-16, 6.36]"
99,1.98,"[0.0483, -1.81e-17, -1.97]","[0.997, -2.36e-17, -0.0712, 6.2e-18]","[1.43e+03, 1.51e+03, 1.43e+03, 1.51e+03]","[-0.704, -4.06e-16, 6.31]"
100,2,"[0.0453, -2.51e-17, -1.93]","[0.998, -2.2e-17, -0.0691, 6.2e-18]","[1.43e+03, 1.51e+03, 1.43e+03, 1.51e+03]","[-0.929, -7.21e-16, 6.26]"
101,2.02,"[0.0417, -3.15e-17, -1.89]","[0.998, -1.93e-17, -0.0677, 6.25e-18]","[1.43e+03, 1.52e+03, 1.43e+03, 1.52e+03]","[-1.16, -1.08e-15, 6.2]"
102,2.04,"[0.0378, -3.69e-17, -1.86]","[0.998, -1.57e-17, -0.067, 6.41e-18]","[1.44e+03, 1.52e+03, 1.44e+03, 1.52e+03]","[-1.37, -1.2e-15, 6.15]"
103,2.06,"[0.0339, -4.11e-17, -1.82]","[0.998, -1.13e-17, -0.0669, 6.64e-18]","[1.44e+03, 1.52e+03, 1.44e+03, 1.52e+03]","[-1.56, -1.34e-15, 6.09]"
104,2.08,"[0.0302, -4.39e-17, -1.79]","[0.998, -6.57e-18, -0.0675, 6.87e-18]","[1.44e+03, 1.51e+03, 1.44e+03, 1.51e+03]","[-1.71, -1.35e-15, 6.03]"
105,2.1,"[0.0268, -4.51e-17, -1.75]","[0.998, -1.72e-18, -0.0687, 7.05e-18]","[1.45e+03, 1.51e+03, 1.45e+03, 1.51e+03]","[-1.82, -1.26e-15, 5.97]"
106,2.12,"[0.024, -4.47e-17, -1.72]","[0.998, 2.98e-18, -0.0702, 7.25e-18]","[1.45e+03, 1.51e+03, 1.45e+03, 1.51e+03]","[-1.89, -1.17e-15, 5.9]"
