n,t,v,q,pwm,fa
40,0.8,"[-1.33e-14, -6.68e-15, -6.16]","[1, -3.4e-15, 6.78e-15, 1.25e-18]","[1.33e+03, 1.33e+03, 1.33e+03, 1.33e+03]","[-2.77e-12, -1.39e-12, 16.3]"
41,0.82,"[-1.42e-14, -7.09e-15, -6.04]","[1, -1.98e-15, 3.94e-15, 1.24e-18]","[1.35e+03, 1.35e+03, 1.35e+03, 1.35e+03]","[-2.62e-12, -1.31e-12, 14.9]"
42,0.84,"[-1.46e-14, -7.29e-15, -5.92]","[1, -6.06e-16, 1.19e-15, 1.23e-18]","[1.44e+03, 1.44e+03, 1.44e+03, 1.44e+03]","[-2.4e-12, -1.2e-12, 12.8]"
43,0.86,"[-1.45e-14, -7.28e-15, -5.81]","[1, 6.9e-16, -1.4e-15, 1.23e-18]","[1.39e+03, 1.39e+03, 1.39e+03, 1.39e+03]","[-2.17e-12, -1.09e-12, 14.1]"
44,0.88,"[-1.41e-14, -7.06e-15, -5.7]","[1, 1.87e-15, -3.75e-15, 1.23e-18]","[1.36e+03, 1.36e+03, 1.36e+03, 1.36e+03]","[-1.88e-12, -9.4e-13, 14.5]"
45,0.9,"[-1.33e-14, -6.65e-15, -5.58]","[1, 2.9e-15, -5.82e-15, 1.25e-18]","[1.4e+03, 1.4e+03, 1.4e+03, 1.4e+03]","[-1.55e-12, -7.77e-13, 13]"
46,0.92,"[-1.21e-14, -6.06e-15, -5.48]","[1, 3.77e-15, -7.55e-15, 1.26e-18]","[1.42e+03, 1.42e+03, 1.42e+03, 1.42e+03]","[-1.21e-12, -6.06e-13, 12.9]"
47,0.94,"[-1.06e-14, -5.3e-15, -5.37]","[1, 4.45e-15, -8.9e-15, 1.25e-18]","[1.39e+03, 1.39e+03, 1.39e+03, 1.39e+03]","[-8.45e-13, -4.24e-13, 13.5]"
48,0.96,"[-8.83e-15, -4.43e-15, -5.27]","[1, 4.93e-15, -9.85e-15, 1.25e-18]","[1.39e+03, 1.39e+03, 1.39e+03, 1.39e+03]","[-4.91e-13, -2.47e-13, 13]"
49,0.98,"[-6.92e-15, -3.48e-15, -5.17]","[1, 5.2e-15, -1.04e-14, 1.26e-18]","[1.41e+03, 1.41e+03, 1.41e+03, 1.41e+03]","[-1.62e-13, -8.24e-14, 12.3]"
50,1,"[-4.89e-15, -2.46e-15, -5.07]","[1, 5.26e-15, -1.05e-14, 1.29e-18]","[1.41e+03, 1.41e+03, 1.41e+03, 1.41e+03]","[1.55e-13, 7.63e-14, 12.5]"
51,1.02,"[-2.83e-15, -1.43e-15, -4.97]","[1, 5.14e-15, -1.03e-14, 1.28e-18]","[1.4e+03, 1.4e+03, 1.4e+03, 1.4e+03]","[4.41e-13, 2.19e-13, 12.5]"
52,1.04,"[-8.27e-16, -4.31e-16, -4.87]","[1, 4.83e-15, -9.65e-15, 1.21e-18]","[1.41e+03, 1.41e+03, 1.41e+03, 1.41e+03]","[6.74e-13, 3.36e-13, 12]"
53,1.06,"[1.05e-15, 5.1e-16, -4.78]","[1, 4.36e-15, -8.71e-15, 1.15e-18]","[1.42e+03, 1.42e+03, 1.42e+03, 1.42e+03]","[8.61e-13, 4.3e-13, 11.7]"
54,1.08,"[2.74e-15, 1.36e-15, -4.69]","[1, 3.76e-15, -7.51e-15, 1.12e-18]","[1.41e+03, 1.41e+03, 1.41e+03, 1.41e+03]","[1e-12, 5.02e-13, 11.8]"
55,1.1,"[4.19e-15, 2.08e-15, -4.6]","[1, 3.06e-15, -6.11e-15, 1.12e-18]","[1.41e+03, 1.41e+03, 1.41e+03, 1.41e+03]","[1.09e-12, 5.46e-13, 11.6]"
56,1.12,"[5.33e-15, 2.66e-15, -4.51]","[1, 2.29e-15, -4.57e-15, 1.14e-18]","[1.42e+03, 1.42e+03, 1.42e+03, 1.42e+03]","[1.13e-12, 5.63e-13, 11.3]"
57,1.14,"[6.16e-15, 3.07e-15, -4.42]","[1, 1.49e-15, -2.96e-15, 1.11e-18]","[1.42e+03, 1.42e+03, 1.42e+03, 1.42e+03]","[1.11e-12, 5.57e-13, 11.1]"
58,1.16,"[6.63e-15, 3.31e-15, -4.34]","[1, 6.82e-16, -1.35e-15, 1.07e-18]","[1.42e+03, 1.42e+03, 1.42e+03, 1.42e+03]","[1.06e-12, 5.28e-13, 11]"
59,1.18,"[6.76e-15, 3.37e-15, -4.25]","[1, -9.07e-17, 1.95e-16, 1.06e-18]","[1.42e+03, 1.42e+03, 1.42e+03, 1.42e+03]","[9.59e-13, 4.8e-13, 10.9]"
60,1.2,"[6.55e-15, 3.27e-15, -4.17]","[1, -8.01e-16, 1.61e-15, 1.08e-18]","[1.43e+03, 1.43e+03, 1.43e+03, 1.43e+03]","[8.31e-13, 4.16e-13, 10.6]"
61,1.22,"[6.03e-15, 3.01e-15, -4.09]","[1, -1.42e-15, 2.86e-15, 1.1e-18]","[1.43e+03, 1.43e+03, 1.43e+03, 1.43e+03]","[6.8e-13, 3.4e-13, 10.5]"
62,1.24,"[5.24e-15, 2.62e-15, -4.01]","[1, -1.93e-15, 3.88e-15, 1.11e-18]","[1.43e+03, 1.43e+03, 1.43e+03, 1.43e+03]","[5.13e-13, 2.57e-13, 10.4]"
63,1.26,"[4.22e-15, 2.11e-15, -3.94]","[1, -2.32e-15, 4.65e-15, 1.13e-18]","[1.43e+03, 1.43e+03, 1.43e+03, 1.43e+03]","[3.4e-13, 1.71e-13, 10.2]"
64,1.28,"[3.04e-15, 1.52e-15, -3.86]","[1, -2.57e-15, 5.15e-15, 1.13e-18]","[1.43e+03, 1.43e+03, 1.43e+03, 1.43e+03]","[1.69e-13, 8.48e-14, 10]"
65,1.3,"[1.75e-15, 8.77e-16, -3.78]","[1, -2.69e-15, 5.38e-15, 1.1e-18]","[1.43e+03, 1.43e+03, 1.43e+03, 1.43e+03]","[6.25e-15, 3.63e-15, 9.88]"
66,1.32,"[4.31e-16, 2.16e-16, -3.71]","[1, -2.67e-15, 5.34e-15, 1.06e-18]","[1.44e+03, 1.44e+03, 1.44e+03, 1.44e+03]","[-1.4e-13, -6.99e-14, 9.75]"
67,1.34,"[-8.64e-16, -4.32e-16, -3.64]","[1, -2.52e-15, 5.05e-15, 1.04e-18]","[1.44e+03, 1.44e+03, 1.44e+03, 1.44e+03]","[-2.66e-13, -1.32e-13, 9.59]"
68,1.36,"[-2.07e-15, -1.04e-15, -3.57]","[1, -2.27e-15, 4.54e-15, 1.01e-18]","[1.44e+03, 1.44e+03, 1.44e+03, 1.44e+03]","[-3.66e-13, -1.83e-13, 9.44]"
69,1.38,"[-3.14e-15, -1.57e-15, -3.5]","[1, -1.93e-15, 3.85e-15, 9.95e-19]","[1.44e+03, 1.44e+03, 1.44e+03, 1.44e+03]","[-4.39e-13, -2.19e-13, 9.3]"
