n,t,v,q,pwm,fa
42,0.84,"[-0.304, -0.00046, -1.84]","[1, 0.000562, -0.0159, 0.00149]","[2e+03, 2e+03, 2e+03, 1e+03]","[-0.81, 1.6e-07, 0.184]"
43,0.86,"[-0.304, -5.81e-05, -1.96]","[1, 0.000674, -0.0165, 0.00156]","[1.79e+03, 1.79e+03, 2e+03, 1e+03]","[-0.807, 1.88e-07, 0.21]"
44,0.88,"[-0.304, 0.000394, -2.08]","[1, 0.000684, -0.0171, 0.00163]","[2e+03, 1e+03, 2e+03, 2e+03]","[-0.804, 1.35e-07, 0.236]"
45,0.9,"[-0.304, 0.000815, -2.19]","[1, 0.000626, -0.0178, 0.00168]","[2e+03, 1e+03, 1.99e+03, 1.99e+03]","[-0.802, 5.75e-08, 0.26]"
46,0.92,"[-0.304, 0.00117, -2.3]","[1, 0.000432, -0.0185, 0.00172]","[2e+03, 1e+03, 1.32e+03, 1.68e+03]","[-0.799, -4.84e-10, 0.288]"
47,0.94,"[-0.305, 0.00136, -2.36]","[1, 0.000275, -0.0193, 0.00171]","[2e+03, 1e+03, 2e+03, 2e+03]","[-0.796, -5.02e-08, 0.302]"
48,0.96,"[-0.304, 0.00153, -2.44]","[1, 0.000284, -0.0202, 0.00169]","[2e+03, 1e+03, 1.94e+03, 1.94e+03]","[-0.793, -5.64e-08, 0.324]"
49,0.98,"[-0.302, 0.00175, -2.55]","[1, 0.000279, -0.021, 0.00167]","[2e+03, 1e+03, 1.55e+03, 2e+03]","[-0.791, -7.44e-08, 0.354]"
50,1,"[-0.301, 0.00188, -2.63]","[1, 0.000132, -0.0217, 0.00163]","[2e+03, 1.3e+03, 1e+03, 2e+03]","[-0.788, -2.17e-07, 0.375]"
51,1.02,"[-0.301, 0.00195, -2.67]","[1, 8.15e-05, -0.0226, 0.00157]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-0.785, -2.84e-07, 0.386]"
52,1.04,"[-0.302, 0.00198, -2.67]","[1, 3.16e-05, -0.0235, 0.00158]","[2e+03, 1e+03, 2e+03, 2e+03]","[-0.783, -3.62e-07, 0.388]"
53,1.06,"[-0.3, 0.00205, -2.74]","[1, 0.000147, -0.0242, 0.00161]","[2e+03, 1e+03, 1.94e+03, 1.94e+03]","[-0.781, -2.2e-07, 0.406]"
54,1.08,"[-0.298, 0.00218, -2.79]","[1, 0.000304, -0.025, 0.00166]","[1e+03, 2e+03, 2e+03, 2e+03]","[-0.779, -8.67e-08, 0.422]"
55,1.1,"[-0.296, 0.00237, -2.84]","[1, 0.000292, -0.0258, 0.00175]","[1e+03, 2e+03, 2e+03, 2e+03]","[-0.777, -1.23e-07, 0.437]"
56,1.12,"[-0.291, 0.00253, -2.93]","[1, 0.000124, -0.0266, 0.00182]","[1e+03, 2e+03, 1.96e+03, 1.96e+03]","[-0.775, -3.68e-07, 0.466]"
57,1.14,"[-0.286, 0.00261, -3.01]","[1, 1.92e-05, -0.0274, 0.00185]","[1e+03, 2e+03, 1.5e+03, 1.5e+03]","[-0.773, -5.84e-07, 0.491]"
58,1.16,"[-0.284, 0.00264, -3.03]","[1, -7.9e-05, -0.0282, 0.00183]","[2e+03, 1e+03, 1.69e+03, 1.35e+03]","[-0.772, -8.12e-07, 0.499]"
59,1.18,"[-0.282, 0.00261, -3.06]","[1, -0.000175, -0.029, 0.00177]","[2e+03, 1e+03, 1.05e+03, 1.95e+03]","[-0.77, -1.05e-06, 0.507]"
60,1.2,"[-0.279, 0.00255, -3.09]","[1, -0.000212, -0.0298, 0.00171]","[1e+03, 2e+03, 1.96e+03, 1.96e+03]","[-0.768, -1.11e-06, 0.516]"
61,1.22,"[-0.273, 0.00246, -3.16]","[1, -0.000292, -0.0306, 0.00167]","[1e+03, 2e+03, 2e+03, 2e+03]","[-0.767, -1.31e-06, 0.541]"
62,1.24,"[-0.267, 0.00237, -3.22]","[1, -0.000241, -0.0313, 0.00165]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-0.766, -1.1e-06, 0.564]"
63,1.26,"[-0.264, 0.00231, -3.23]","[0.999, -0.000191, -0.0321, 0.0017]","[1.96e+03, 2e+03, 2e+03, 1e+03]","[-0.765, -9.2e-07, 0.566]"
64,1.28,"[-0.259, 0.00226, -3.27]","[0.999, -0.000213, -0.0329, 0.00174]","[1e+03, 2e+03, 2e+03, 2e+03]","[-0.764, -9.57e-07, 0.578]"
65,1.3,"[-0.25, 0.00221, -3.35]","[0.999, -0.000208, -0.0337, 0.00177]","[1e+03, 2e+03, 2e+03, 2e+03]","[-0.763, -9.18e-07, 0.609]"
66,1.32,"[-0.239, 0.00214, -3.46]","[0.999, -0.000283, -0.0344, 0.00179]","[1e+03, 2e+03, 1.85e+03, 1.85e+03]","[-0.762, -1.12e-06, 0.65]"
67,1.34,"[-0.228, 0.00201, -3.58]","[0.999, -0.000366, -0.0351, 0.00181]","[1e+03, 2e+03, 1.69e+03, 1.69e+03]","[-0.762, -1.37e-06, 0.694]"
68,1.36,"[-0.217, 0.00186, -3.67]","[0.999, -0.000403, -0.0358, 0.00182]","[2e+03, 1e+03, 1.92e+03, 2e+03]","[-0.761, -1.44e-06, 0.732]"
69,1.38,"[-0.208, 0.00171, -3.74]","[0.999, -0.000403, -0.0365, 0.00183]","[2e+03, 1e+03, 1.5e+03, 1.5e+03]","[-0.761, -1.36e-06, 0.759]"
70,1.4,"[-0.203, 0.0016, -3.75]","[0.999, -0.000395, -0.0372, 0.0018]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-0.76, -1.25e-06, 0.763]"
71,1.42,"[-0.197, 0.00148, -3.77]","[0.999, -0.000394, -0.038, 0.00176]","[1e+03, 2e+03, 2e+03, 2e+03]","[-0.76, -1.18e-06, 0.769]"
72,1.44,"[-0.189, 0.00135, -3.8]","[0.999, -0.000418, -0.0387, 0.00174]","[1e+03, 2e+03, 2e+03, 2e+03]","[-0.76, -1.2e-06, 0.784]"
73,1.46,"[-0.177, 0.00118, -3.89]","[0.999, -0.00046, -0.0393, 0.00171]","[1e+03, 2e+03, 1.85e+03, 1.85e+03]","[-0.76, -1.28e-06, 0.82]"
74,1.48,"[-0.164, 0.00101, -3.99]","[0.999, -0.000399, -0.0399, 0.0017]","[1.5e+03, 1.5e+03, 1e+03, 2e+03]","[-0.76, -9.68e-07, 0.864]"
75,1.5,"[-0.154, 0.000888, -4.04]","[0.999, -0.00035, -0.0406, 0.00172]","[1.95e+03, 1.95e+03, 1e+03, 2e+03]","[-0.76, -7.4e-07, 0.885]"
76,1.52,"[-0.143, 0.000788, -4.1]","[0.999, -0.000343, -0.0414, 0.00177]","[2e+03, 2e+03, 2e+03, 1e+03]","[-0.761, -6.7e-07, 0.912]"
